title,price,rating,reviews
"Midea WHS-65LB1 Mini Fridge, 1.6 Cu.ft Energy Star Certified Mini Refrigerator, Adjustable Thermostat, Reversible Door, Low Noise for Dorm, Office, Bedroom, Black","INR 6,182.88",4.5 out of 5 stars,"(6,754)"
"LG 28 L Scan-To-Cook Wi-Fi Enabled Charcoal Convection Microwave Oven (MJEN286UBW, Black, Beige Door, 301 Auto Cook Menu, Bar-be-queing at home, 30 Heart Healthy Recipes, Diet Fry & Multicook Tawa)","₹19,980.00",3.9 out of 5 stars,(160)
